Pathogen,Matrix,Substrate,Freq (Days),Harvest Quant,Days Survived,Sustainable Potency (Score)
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),21,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Braggot (Grain),30,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.2,5,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.25,5,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),3,0.3,5,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),5,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),7,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),10,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),14,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),21,0.3,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.05,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.1,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.15,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.2,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.25,4,0.0
Rhinovirus (RNA),Amanita (V),Pyment (Fruit+Grain),30,0.3,4,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.05,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.1,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.15,4,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.2,4,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.25,4,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,3,0.3,4,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.05,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.1,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.15,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.2,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.25,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,5,0.3,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,7,0.05,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,7,0.1,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,7,0.15,3,0.0
Rhinovirus (RNA),Penicillium (Co),Pure Mead,7,0.2,3,0.0
